1,1,1,144
2,1,2,147
3,1,3,141
4,1,4,151
5,1,5,141
6,2,1,148
7,2,2,148
8,2,3,149
9,2,4,150
10,2,5,141
11,3,1,151
12,3,2,148
13,3,3,154
14,3,4,143
15,3,5,139
16,4,1,149
17,4,2,162
18,4,3,147
19,4,4,153
20,4,5,136
21,5,1,145
22,5,2,155
23,5,3,138
24,5,4,140
25,5,5,128
26,6,1,158
27,6,2,156
28,6,3,144
29,6,4,150
30,6,5,131
31,7,1,152
32,7,2,162
33,7,3,146
34,7,4,161
35,7,5,133
36,8,1,147
37,8,2,154
38,8,3,154
39,8,4,152
40,8,5,127
41,9,1,147.03
42,9,2,146.12
43,9,3,148.27
44,9,4,146.48
45,9,5,138.675
46,10,1,157.08
47,10,2,150.47
48,10,3,155.92
49,10,4,157.43
50,10,5,138.7
51,11,1,152.63
52,11,2,152.32
53,11,3,149.07
54,11,4,154.88
55,11,5,142.075
56,12,1,156.68
57,12,2,160.67
58,12,3,160.72
59,12,4,164.83
60,12,5,142.8
61,13,1,163.23
62,13,2,166.52
63,13,3,163.87
64,13,4,169.28
65,13,5,142.875
66,14,1,173.28
67,14,2,174.87
68,14,3,173.52
69,14,4,174.23
70,14,5,157.3
71,15,1,169.83
72,15,2,187.72
73,15,3,186.67
74,15,4,179.68
75,15,5,160.075
76,16,1,186.88
77,16,2,195.07
78,16,3,198.32
79,16,4,198.63
80,16,5,183.2
81,17,1,210.43
82,17,2,193.92
83,17,3,208.47
84,17,4,208.08
85,17,5,185.675
86,18,1,204.07
87,18,2,200.28
88,18,3,207.63
89,18,4,196.12
90,18,5,177.575
91,19,1,205.52
92,19,2,199.43
93,19,3,205.48
94,19,4,203.67
95,19,5,193.3
96,20,1,211.47
97,20,2,208.08
98,20,3,208.83
99,20,4,211.72
100,20,5,208.175
101,21,1,217.92
102,21,2,219.23
103,21,3,221.68
104,21,4,234.27
105,21,5,196.2
106,22,1,237.87
107,22,2,230.88
108,22,3,236.03
109,22,4,244.32
110,22,5,214.375
111,23,1,250.32
112,23,2,251.03
113,23,3,247.88
114,23,4,260.87
115,23,5,240.7
116,24,1,271.27
117,24,2,268.68
118,24,3,276.23
119,24,4,284.92
120,24,5,260.175
121,25,1,288.72
122,25,2,289.83
123,25,3,303.08
124,25,4,308.47
125,25,5,289.8
126,26,1,309.67
127,26,2,322.48
128,26,3,332.43
129,26,4,335.52
130,26,5,319.575
131,27,1,328.01
132,27,2,318.04
133,27,3,334.09
134,27,4,323.16
135,27,5,305.225
136,28,1,333.36
137,28,2,329.49
138,28,3,325.64
139,28,4,341.81
140,28,5,299.9
141,29,1,329.21
142,29,2,328.44
143,29,3,331.69
144,29,4,338.96
145,29,5,310.025
146,30,1,333.56
147,30,2,335.89
148,30,3,335.24
149,30,4,324.61
150,30,5,301.6
151,31,1,332.41
152,31,2,332.84
153,31,3,335.29
154,31,4,320.76
155,31,5,298.625
156,32,1,341.76
157,32,2,338.29
158,32,3,335.84
159,32,4,337.41
160,32,5,300.1
161,33,1,336.61
162,33,2,337.24
163,33,3,339.89
164,33,4,345.56
165,33,5,308.025
166,34,1,342.96
167,34,2,339.69
168,34,3,350.44
169,34,4,347.21
170,34,5,315.4
171,35,1,348.81
172,35,2,352.64
173,35,3,357.49
174,35,4,347.36
175,35,5,318.225
176,36,1,355.16
177,36,2,352.09
178,36,3,364.04
179,36,4,349.01
180,36,5,317.5
181,37,1,357.01
182,37,2,358.04
183,37,3,357.09
184,37,4,357.16
185,37,5,329.225
186,38,1,361.36
187,38,2,358.49
188,38,3,373.64
189,38,4,369.81
190,38,5,338.4
191,39,1,367.21
192,39,2,379.44
193,39,3,375.69
194,39,4,361.96
195,39,5,329.025
196,40,1,377.56
197,40,2,374.89
198,40,3,376.24
199,40,4,383.61
200,40,5,351.1
201,41,1,383.41
202,41,2,382.84
203,41,3,396.29
204,41,4,384.76
205,41,5,345.625
206,42,1,384.76
207,42,2,385.29
208,42,3,391.84
209,42,4,388.41
210,42,5,344.6
211,43,1,388.61
212,43,2,400.24
213,43,3,404.89
214,43,4,407.56
215,43,5,375.025
216,44,1,398.96
217,44,2,413.69
218,44,3,408.44
219,44,4,407.21
220,44,5,367.9
221,45,1,417.81
222,45,2,418.64
223,45,3,407.49
224,45,4,424.36
225,45,5,383.225
226,46,1,421.16
227,46,2,419.09
228,46,3,422.04
229,46,4,422.01
230,46,5,387
231,47,1,430.01
232,47,2,433.04
233,47,3,438.09
234,47,4,437.16
235,47,5,387.225
236,48,1,439.36
237,48,2,442.49
238,48,3,437.64
239,48,4,453.81
240,48,5,394.9
241,49,1,456.21
242,49,2,454.44
243,49,3,456.69
244,49,4,463.96
245,49,5,415.025
246,50,1,463.56
247,50,2,462.89
248,50,3,476.24
249,50,4,477.61
250,50,5,430.6
251,51,1,479.41
252,51,2,482.84
253,51,3,485.29
254,51,4,486.76
255,51,5,441.625
256,52,1,485.76
257,52,2,492.29
258,52,3,497.84
259,52,4,493.41
260,52,5,450.1
